theta_rad,flux
0.0,2.8344620341324664
0.1013416987398321,2.8335115111414444
0.20268339743506733,2.8321812196329965
0.3040250961977324,2.8331939013592904
0.405366795030044,2.834009088802196
0.5067084938822488,2.832917076551744
0.608050192660641,2.832992073819892
0.7093918914994932,2.8312286044166273
0.8107335903786884,2.8275626966647978
0.9120752891677307,2.8303698861591142
1.0134169879423256,2.8314544568531606
1.1147586868734554,2.8306101678466895
1.2161003856698935,2.8322219755225992
1.3174420845035373,2.8326756772701565
1.4187837832555725,2.829201749587915
1.5201254821164805,2.831976924859958
1.6214671806261132,2.8315624109277007
1.722808878780797,2.8308210322869973
1.8241505769825992,2.832441321831666
1.9254922751458903,2.832312151093857
2.0268339733789436,2.830282536228354
2.12817567156084,2.828253595255294
2.229517369815155,2.8298501894311343
2.330859068028701,2.835307612765077
2.43220076614268,2.8340333118210683
2.5335424642774194,2.835030208226082
2.634884162514941,2.8314939647833115
2.7362258607879295,2.8307955656968966
2.8375675590377587,2.834611005435348
2.9389092571598234,2.835957513426325
3.040250955348788,2.8312083649992275
3.141592653589793,2.830581977443212
3.242934352329625,2.8325694783894937
3.34427605102486,2.831229402714714
3.4456177497875253,2.832896747594792
3.546959448619837,2.8319016442741476
3.6483011474720417,2.828037917472168
3.749642846250434,2.827271879366817
3.850984545089286,2.8306949634487477
3.952326243968481,2.8299723939223855
4.0536679427575235,2.8318907800575728
4.155009641532119,2.832548857091091
4.256351340463248,2.831546969618797
4.357693039259686,2.8332243940495854
4.45903473809333,2.833964040905454
4.560376436845365,2.827266041857912
4.661718135706273,2.834368137362229
4.763059834215906,2.8331023399960324
4.864401532370589,2.83393440456243
4.965743230572392,2.8356062080146964
5.067084928735683,2.831964946070208
5.168426626968737,2.831472624498778
5.269768325150633,2.8294456275124564
5.371110023404948,2.8276652230007606
5.472451721618494,2.8317385373926145
5.573793419732473,2.8329723615234355
5.675135117867212,2.8302667061176425
5.776476816104734,2.829064830173022
5.877818514377722,2.828996092319867
5.979160212627551,2.8328872939450793
6.080501910749616,2.8339603977323296
6.181843608938581,2.825585162650214
