step,time,nu_inner,nu_outer
0,0.0001198339684373328,0.9841347066659825,1.0163436195346454
1,0.0002396679368746656,0.9995135684322796,0.9991996899781403
2,0.0003595019053119984,1.0111994115023184,0.9934037363758135
3,0.0004793358737493312,1.020059617186177,0.9870442598800081
4,0.000599169842186664,1.027732585329207,0.9830845842123376
5,0.0007190038106239968,1.0340820529200536,0.9789936357018184
6,0.0008388377790613296,1.0398387707480974,0.975935875172152
7,0.0009586717474986624,1.0448420140183323,0.9728108774684842
8,0.0010785057159359952,1.0495090117179218,0.9702517383088521
9,0.001198339684373328,1.0537322366746322,0.9676469905816347
10,0.001318173652810661,1.057725859106838,0.9653938789308757
11,0.0014380076212479938,1.0614258336035651,0.9631249119782147
12,0.0015578415896853267,1.0649543345972694,0.9610866591391195
13,0.0016776755581226596,1.0682768023535787,0.9590521858484136
14,0.0017975095265599925,1.0714635116917526,0.9571760393488078
15,0.0019173434949973254,1.0744981089118844,0.9553152991903209
16,0.002037177463434658,1.0774216673432784,0.9535674732295165
17,0.0021570114318719908,1.0802279891836217,0.9518410832103984
18,0.0022768454003093234,1.0829415190524603,0.9501980418545775
19,0.002396679368746656,1.0855612212436732,0.9485797909353059
20,0.002516513337183989,1.0881022965470242,0.9470248537736646
21,0.0026363473056213215,1.0905661197147611,0.9454955329485351
22,0.002756181274058654,1.0929624717480098,0.9440158526596963
23,0.002876015242495987,1.0952936903072665,0.94256135651186
24,0.0029958492109333195,1.0975663837246512,0.9411469149591833
25,0.003115683179370652,1.0997831233909823,0.9397565379228232
26,0.003235517147807985,1.1019485964412274,0.9383993247625265
27,0.0033553511162453175,1.1040652753226765,0.9370647251252879
28,0.00347518508468265,1.1061366471890186,0.9357582102228993
29,0.003595019053119983,1.1081649528395041,0.9344727410477405
30,0.0037148530215573156,1.1101528899209157,0.9332115177344092
31,0.0038346869899946482,1.112102438603696,0.9319697793343216
32,0.003954520958431981,1.114015751754795,0.9307493131742912
33,0.004074354926869314,1.11589456060131,0.9295468452606244
34,0.004194188895306646,1.117740628781374,0.9283632923597385
35,0.004314022863743979,1.1195554605334106,0.9271963571830274
36,0.004433856832181312,1.1213405350546672,0.9260464281212417
37,0.004553690800618644,1.1230971539644368,0.9249118545854749
38,0.004673524769055977,1.1248265804331774,0.9237927105972763
39,0.00479335873749331,1.1265299460785965,0.9226877797074183
